simID	f0	f1	f2	f3	S_m	thetapi_m	thetaw_m	thetah_m	hprime_m	tajimasd_m	numSing_m	hapdiv_m	rsq_m	D_m	Dprime_m	div_m	S_sd	thetapi_sd	thetaw_sd	thetah_sd	hprime_sd	tajimasd_sd	numSing_sd	hapdiv_sd	rsq_sd	D_sd	Dprime_sd	div_sd
sim154	0.55	0.35	0.05	0.05	1397.64	0.04162	0.0807	0.01958	0.45265	-1.42438	0.0	0.74153	0.0308	0.00218	-0.71442	0.2326	252.01333	0.01471	0.01455	0.01211	0.16813	0.42829	0.0	0.01525	0.01125	0.00215	0.13251	0.02097
sim155	0.55	0.15	0.25	0.05	953.48	0.02095	0.05505	0.00969	0.34516	-1.79474	0.0	0.73775	0.02187	0.00133	-0.77328	0.23045	209.9063	0.00754	0.01212	0.00563	0.13187	0.37373	0.0	0.01702	0.00804	0.0013	0.10645	0.01286
sim156	0.1	0.1	0.35	0.45	335.52	0.00485	0.01937	0.00194	0.24655	-2.16761	0.0	0.7432	0.0141	0.00045	-0.85635	0.13645	44.7454	0.00141	0.00258	0.00106	0.07164	0.20688	0.0	0.01431	0.00291	0.00046	0.06463	0.00673
sim157	0.35	0.5	0.1	0.05	1076.85	0.02817	0.06218	0.01245	0.4201	-1.58921	0.0	0.73878	0.02765	0.00183	-0.74341	0.23207	197.1247	0.00958	0.01138	0.0082	0.14851	0.44202	0.0	0.01668	0.01144	0.00167	0.12165	0.01359
sim158	0.85	0.05	0.0	0.1	73.76	0.00568	0.00426	0.0026	1.10987	0.95253	0.0	0.72204	0.16074	0.01589	-0.32367	0.17605	22.33588	0.00226	0.00129	0.00198	0.2898	1.07042	0.0	0.01943	0.05292	0.01486	0.26815	0.00835
sim159	0.05	0.45	0.15	0.35	598.72	0.00845	0.03457	0.00304	0.25829	-2.19651	0.0	0.74389	0.01385	0.0005	-0.85841	0.179	90.77345	0.00286	0.00524	0.00218	0.08396	0.24401	0.0	0.01476	0.00355	0.00057	0.0698	0.00727
sim160	0.0	0.25	0.25	0.5	336.75	0.00495	0.01944	0.00188	0.25926	-2.1518	0.0	0.74446	0.01472	0.00046	-0.86046	0.13725	49.34037	0.00137	0.00285	0.00111	0.08443	0.21892	0.0	0.01565	0.00359	0.00048	0.06306	0.00716
sim161	0.6	0.0	0.25	0.15	821.01	0.01532	0.0474	0.00654	0.30953	-1.97351	0.0	0.74029	0.0182	0.00091	-0.81489	0.21793	161.3333	0.00641	0.00932	0.00465	0.11285	0.35281	0.0	0.01685	0.00705	0.00094	0.08714	0.01186
sim162	0.45	0.2	0.0	0.35	1055.91	0.01462	0.06097	0.00645	0.2255	-2.21147	0.0	0.74693	0.01275	0.00057	-0.86557	0.20665	190.22178	0.00657	0.01098	0.00565	0.07613	0.31907	0.0	0.01514	0.00398	0.00079	0.0949	0.0122
sim163	0.9	0.05	0.0	0.05	109.08	0.01005	0.0063	0.005	1.24355	1.75438	0.0	0.70288	0.22051	0.02525	-0.17393	0.20443	33.8382	0.00386	0.00195	0.0032	0.42369	1.30633	0.0	0.02879	0.10206	0.02979	0.32823	0.00924
sim164	0.1	0.2	0.3	0.4	411.15	0.00588	0.02374	0.0022	0.25585	-2.17181	0.0	0.74455	0.01439	0.00046	-0.86331	0.15414	70.28116	0.00162	0.00406	0.00156	0.0693	0.23175	0.0	0.01546	0.00339	0.00079	0.07302	0.00733
sim165	0.75	0.0	0.0	0.25	1533.77	0.03013	0.08856	0.01359	0.30646	-1.92605	0.0	0.74707	0.01741	0.00119	-0.81026	0.22232	257.33195	0.01337	0.01486	0.01064	0.14129	0.46256	0.0	0.01363	0.00847	0.00164	0.13624	0.0186
sim166	0.2	0.4	0.3	0.1	712.01	0.01414	0.04111	0.00623	0.32747	-1.88095	0.0	0.73849	0.02079	0.00111	-0.79316	0.21064	151.51628	0.00426	0.00875	0.00416	0.11944	0.37705	0.0	0.01506	0.00927	0.00102	0.09326	0.00858
sim167	0.45	0.35	0.0	0.2	1320.32	0.02833	0.07624	0.01253	0.34503	-1.83419	0.0	0.74498	0.01992	0.0013	-0.78387	0.21847	220.35141	0.01094	0.01272	0.00828	0.14302	0.41603	0.0	0.01638	0.00799	0.00154	0.12046	0.0151
sim168	0.3	0.4	0.15	0.15	913.21	0.01748	0.05273	0.00838	0.28573	-1.95053	0.0	0.74562	0.01778	0.00083	-0.82413	0.21869	174.62996	0.00602	0.01008	0.00489	0.09576	0.30258	0.0	0.0155	0.00533	0.0009	0.09185	0.01099
sim169	0.8	0.15	0.0	0.05	159.72	0.01487	0.00922	0.00848	1.10873	1.71889	0.0	0.72002	0.20259	0.02115	-0.2496	0.2226	47.62057	0.00614	0.00275	0.0056	0.38128	1.19462	0.0	0.02022	0.0647	0.01999	0.32273	0.01096
sim170	0.8	0.15	0.0	0.05	153.0	0.01333	0.00883	0.00685	1.14011	1.46258	0.0	0.72499	0.19337	0.02223	-0.24525	0.21572	51.62315	0.00614	0.00298	0.00514	0.3788	1.36169	0.0	0.01706	0.07817	0.02146	0.32944	0.01189
sim171	0.45	0.0	0.3	0.25	631.22	0.00988	0.03645	0.00406	0.26819	-2.11212	0.0	0.74155	0.01539	0.00064	-0.84705	0.18982	104.22873	0.00322	0.00602	0.00319	0.081	0.29222	0.0	0.0158	0.0046	0.00072	0.07837	0.00962
sim172	0.55	0.15	0.05	0.25	1189.6	0.02021	0.06869	0.00929	0.26506	-2.06173	0.0	0.74723	0.01517	0.00076	-0.83691	0.22004	185.66071	0.00856	0.01072	0.00745	0.08969	0.36864	0.0	0.01495	0.0055	0.00114	0.10794	0.01415
sim173	0.75	0.05	0.15	0.05	1287.63	0.03369	0.07435	0.01636	0.38941	-1.58715	0.0	0.74189	0.02529	0.00167	-0.74093	0.24066	250.61168	0.01055	0.01447	0.00889	0.13206	0.39431	0.0	0.01384	0.00918	0.00171	0.11509	0.01477
sim174	0.6	0.15	0.2	0.05	1056.66	0.02391	0.06101	0.01109	0.34764	-1.78482	0.0	0.74058	0.02235	0.00122	-0.78563	0.23713	199.85966	0.00878	0.01154	0.00659	0.1103	0.34065	0.0	0.0149	0.00766	0.00123	0.10443	0.01419
sim175	0.8	0.15	0.0	0.05	815.98	0.07145	0.04711	0.0297	1.44309	1.45675	0.0	0.73534	0.18154	0.01909	-0.28795	0.20502	253.23658	0.02966	0.01462	0.02115	0.39858	0.90398	0.0	0.01489	0.05748	0.01404	0.22221	0.04072
sim176	0.55	0.25	0.0	0.2	1462.29	0.02979	0.08443	0.01201	0.35102	-1.90106	0.0	0.74458	0.01885	0.00119	-0.78917	0.22366	223.53195	0.01176	0.01291	0.00993	0.1147	0.37584	0.0	0.01532	0.00728	0.00141	0.11217	0.01899
sim177	0.7	0.2	0.05	0.05	1646.23	0.05116	0.09505	0.02409	0.4766	-1.34241	0.0	0.74256	0.03243	0.00252	-0.69852	0.22916	280.80109	0.01553	0.01621	0.01432	0.17847	0.45557	0.0	0.01765	0.01291	0.00294	0.14804	0.02451
sim178	0.55	0.05	0.35	0.05	807.84	0.0162	0.04664	0.0074	0.31674	-1.88678	0.0	0.73962	0.02061	0.00113	-0.79626	0.22239	170.10037	0.00536	0.00982	0.00461	0.09995	0.34769	0.0	0.01705	0.0077	0.00111	0.10088	0.01094
sim179	0.3	0.65	0.0	0.05	1210.58	0.03959	0.0699	0.01763	0.51534	-1.2592	0.0	0.73998	0.03734	0.0028	-0.68143	0.22709	231.81446	0.01236	0.01338	0.01032	0.17905	0.46426	0.0	0.01641	0.01362	0.0026	0.12507	0.01692
sim180	0.3	0.4	0.15	0.15	905.35	0.01735	0.05227	0.00797	0.29943	-1.94062	0.0	0.74382	0.01833	0.00088	-0.81943	0.21981	161.50463	0.00602	0.00933	0.00526	0.0977	0.34759	0.0	0.01428	0.00628	0.00096	0.09855	0.0114
sim181	0.4	0.1	0.15	0.35	680.91	0.00898	0.03932	0.00323	0.24404	-2.24756	0.0	0.74404	0.01305	0.00046	-0.86998	0.18879	99.2315	0.00312	0.00573	0.00313	0.05172	0.24877	0.0	0.01365	0.00281	0.00071	0.07898	0.01036
sim182	0.4	0.35	0.1	0.15	1097.67	0.02234	0.06338	0.00977	0.33064	-1.88977	0.0	0.7443	0.0192	0.00105	-0.80997	0.22442	180.666	0.0093	0.01043	0.00672	0.13596	0.42332	0.0	0.01745	0.00763	0.00135	0.11516	0.01416
sim183	0.85	0.0	0.0	0.15	55.79	0.00524	0.00322	0.00282	1.07584	1.82508	0.0	0.69625	0.22899	0.02996	-0.10248	0.15099	21.61943	0.002	0.00125	0.00152	0.4265	1.22482	0.0	0.0268	0.09079	0.03162	0.41811	0.00697
sim184	0.25	0.3	0.15	0.3	739.95	0.0104	0.04272	0.00387	0.2571	-2.20577	0.0	0.7443	0.01364	0.00049	-0.8661	0.19322	112.98908	0.00359	0.00652	0.00331	0.06985	0.24757	0.0	0.01654	0.00333	0.00058	0.0728	0.00939
sim185	0.25	0.1	0.3	0.35	499.95	0.00698	0.02887	0.00258	0.25188	-2.20736	0.0	0.74456	0.01372	0.00041	-0.86604	0.16596	67.39172	0.00203	0.00389	0.00174	0.05478	0.19567	0.0	0.0165	0.00239	0.00042	0.05545	0.00817
sim186	0.65	0.1	0.15	0.1	1147.91	0.02528	0.06628	0.01188	0.33884	-1.79865	0.0	0.74015	0.02083	0.0014	-0.7739	0.23341	206.97812	0.00893	0.01195	0.00704	0.12873	0.39729	0.0	0.01557	0.00864	0.00145	0.11819	0.0127
